TIME,GEO,ANIMALS,MONTH,UNIT,Value,Flag and Footnotes
2009,Spain,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),967.5,
2009,Spain,"Bovine animals, 1 year",December,Thousand head (animals),706.52,
2009,France,Live bovine animals,December,Thousand head (animals),19842,
2009,France,"Bovine animals, less than 1 year",December,Thousand head (animals),5592,
2009,France,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),677,
2009,France,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),4915,
2009,France,"Bovine animals, 1 year",December,Thousand head (animals),3546,
2009,Croatia,Live bovine animals,December,Thousand head (animals),447.1,
2009,Croatia,"Bovine animals, less than 1 year",December,Thousand head (animals),134.5,
2009,Croatia,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),20.1,
2009,Croatia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),114.4,
2009,Croatia,"Bovine animals, 1 year",December,Thousand head (animals),72.2,
2009,Italy,Live bovine animals,December,Thousand head (animals),:,
2009,Italy,"Bovine animals, less than 1 year",December,Thousand head (animals),1807.59,
2009,Italy,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),494.45,
2009,Italy,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),1313.14,
2009,Italy,"Bovine animals, 1 year",December,Thousand head (animals),1413.28,
2009,Cyprus,Live bovine animals,December,Thousand head (animals),54.1,
2009,Cyprus,"Bovine animals, less than 1 year",December,Thousand head (animals),19.37,
2009,Cyprus,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),8.84,
2009,Cyprus,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),10.54,
2009,Cyprus,"Bovine animals, 1 year",December,Thousand head (animals),10.03,
2009,Latvia,Live bovine animals,December,Thousand head (animals),378.21,
2009,Latvia,"Bovine animals, less than 1 year",December,Thousand head (animals),107.4,
2009,Latvia,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),52.08,
2009,Latvia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),55.32,
2009,Latvia,"Bovine animals, 1 year",December,Thousand head (animals),66.85,
2009,Lithuania,Live bovine animals,December,Thousand head (animals),759.4,
2009,Lithuania,"Bovine animals, less than 1 year",December,Thousand head (animals),182.8,
2009,Lithuania,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),64.9,
2009,Lithuania,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),117.9,
2009,Lithuania,"Bovine animals, 1 year",December,Thousand head (animals),147.4,
2009,Luxembourg,Live bovine animals,December,Thousand head (animals),194.86,
2009,Luxembourg,"Bovine animals, less than 1 year",December,Thousand head (animals),51.18,
2009,Luxembourg,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),4.15,
2009,Luxembourg,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),47.03,
2009,Luxembourg,"Bovine animals, 1 year",December,Thousand head (animals),44.4,
2009,Hungary,Live bovine animals,December,Thousand head (animals),700,
2009,Hungary,"Bovine animals, less than 1 year",December,Thousand head (animals),189,
2009,Hungary,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),66,
2009,Hungary,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),123,
2009,Hungary,"Bovine animals, 1 year",December,Thousand head (animals),156,
2009,Malta,Live bovine animals,December,Thousand head (animals),16.26,
2009,Malta,"Bovine animals, less than 1 year",December,Thousand head (animals),4.21,
2009,Malta,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),0,
2009,Malta,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),4.21,
2009,Malta,"Bovine animals, 1 year",December,Thousand head (animals),3.8,
2009,Netherlands,Live bovine animals,December,Thousand head (animals),3998,
2009,Netherlands,"Bovine animals, less than 1 year",December,Thousand head (animals),1583,
2009,Netherlands,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),979,
2009,Netherlands,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),604,
2009,Netherlands,"Bovine animals, 1 year",December,Thousand head (animals),640,
2009,Austria,Live bovine animals,December,Thousand head (animals),2026.26,
2009,Austria,"Bovine animals, less than 1 year",December,Thousand head (animals),643.44,
2009,Austria,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),151.7,
2009,Austria,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),491.74,
2009,Austria,"Bovine animals, 1 year",December,Thousand head (animals),445.96,
2009,Poland,Live bovine animals,December,Thousand head (animals),5590.22,
2009,Poland,"Bovine animals, less than 1 year",December,Thousand head (animals),1419.16,
2009,Poland,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),89.4,
2009,Poland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),1329.76,
2009,Poland,"Bovine animals, 1 year",December,Thousand head (animals),1192.8,
2009,Portugal,Live bovine animals,December,Thousand head (animals),1446.51,
2009,Portugal,"Bovine animals, less than 1 year",December,Thousand head (animals),376.71,
2009,Portugal,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),104.14,
2009,Portugal,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),272.57,
2009,Portugal,"Bovine animals, 1 year",December,Thousand head (animals),221.49,
2009,Romania,Live bovine animals,December,Thousand head (animals),2512.3,
2009,Romania,"Bovine animals, less than 1 year",December,Thousand head (animals),592.2,
2009,Romania,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),207.9,
2009,Romania,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),384.3,
2009,Romania,"Bovine animals, 1 year",December,Thousand head (animals),263.1,
2009,Slovenia,Live bovine animals,December,Thousand head (animals),472.88,
2009,Slovenia,"Bovine animals, less than 1 year",December,Thousand head (animals),147.34,
2009,Slovenia,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),21.96,
2009,Slovenia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),125.38,
2009,Slovenia,"Bovine animals, 1 year",December,Thousand head (animals),123,
2009,Slovakia,Live bovine animals,December,Thousand head (animals),471.97,
2009,Slovakia,"Bovine animals, less than 1 year",December,Thousand head (animals),136.65,
2009,Slovakia,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),19.15,
2009,Slovakia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),117.5,
2009,Slovakia,"Bovine animals, 1 year",December,Thousand head (animals),94.63,
2009,Finland,Live bovine animals,December,Thousand head (animals),908.15,
2009,Finland,"Bovine animals, less than 1 year",December,Thousand head (animals),304.62,
2009,Finland,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),3.66,
2009,Finland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),300.97,
2009,Finland,"Bovine animals, 1 year",December,Thousand head (animals),225.04,
2009,Sweden,Live bovine animals,December,Thousand head (animals),1481.98,
2009,Sweden,"Bovine animals, less than 1 year",December,Thousand head (animals),479.35,
2009,Sweden,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),21.3,
2009,Sweden,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),461.9,
2009,Sweden,"Bovine animals, 1 year",December,Thousand head (animals),353.38,
2009,United Kingdom,Live bovine animals,December,Thousand head (animals),9901,
2009,United Kingdom,"Bovine animals, less than 1 year",December,Thousand head (animals),2813,
2009,United Kingdom,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),18,
2009,United Kingdom,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),2795,
2009,United Kingdom,"Bovine animals, 1 year",December,Thousand head (animals),2433,
2009,Iceland,Live bovine animals,December,Thousand head (animals),:,
2009,Iceland,"Bovine animals, less than 1 year",December,Thousand head (animals),:,
2009,Iceland,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),:,
2009,Iceland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),:,
2009,Iceland,"Bovine animals, 1 year",December,Thousand head (animals),:,
2009,Switzerland,Live bovine animals,December,Thousand head (animals),:,
2009,Switzerland,"Bovine animals, less than 1 year",December,Thousand head (animals),:,
2009,Switzerland,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),:,
2009,Switzerland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),:,
2009,Switzerland,"Bovine animals, 1 year",December,Thousand head (animals),:,
2009,Montenegro,Live bovine animals,December,Thousand head (animals),:,
2009,Montenegro,"Bovine animals, less than 1 year",December,Thousand head (animals),:,
2009,Montenegro,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),:,
2009,Montenegro,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),:,
2009,Montenegro,"Bovine animals, 1 year",December,Thousand head (animals),:,
2009,North Macedonia,Live bovine animals,December,Thousand head (animals),:,
2009,North Macedonia,"Bovine animals, less than 1 year",December,Thousand head (animals),:,
2009,North Macedonia,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),:,
2009,North Macedonia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),:,
2009,North Macedonia,"Bovine animals, 1 year",December,Thousand head (animals),:,
2009,Albania,Live bovine animals,December,Thousand head (animals),:,
2009,Albania,"Bovine animals, less than 1 year",December,Thousand head (animals),:,
2009,Albania,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),:,
2009,Albania,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),:,
2009,Albania,"Bovine animals, 1 year",December,Thousand head (animals),:,
2009,Serbia,Live bovine animals,December,Thousand head (animals),1002,
2009,Serbia,"Bovine animals, less than 1 year",December,Thousand head (animals),313,
2009,Serbia,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),35,
2009,Serbia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),278,
2009,Serbia,"Bovine animals, 1 year",December,Thousand head (animals),96,
2009,Turkey,Live bovine animals,December,Thousand head (animals),:,
2009,Turkey,"Bovine animals, less than 1 year",December,Thousand head (animals),:,
2009,Turkey,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),:,
2009,Turkey,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),:,
2009,Turkey,"Bovine animals, 1 year",December,Thousand head (animals),:,
2009,Bosnia and Herzegovina,Live bovine animals,December,Thousand head (animals),:,
2009,Bosnia and Herzegovina,"Bovine animals, less than 1 year",December,Thousand head (animals),:,
2009,Bosnia and Herzegovina,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),:,
2009,Bosnia and Herzegovina,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),:,
2009,Bosnia and Herzegovina,"Bovine animals, 1 year",December,Thousand head (animals),:,
2009,Kosovo (under United Nations Security Council Resolution 1244/99),Live bovine animals,December,Thousand head (animals),:,
2009,Kosovo (under United Nations Security Council Resolution 1244/99),"Bovine animals, less than 1 year",December,Thousand head (animals),:,
2009,Kosovo (under United Nations Security Council Resolution 1244/99),"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),:,
2009,Kosovo (under United Nations Security Council Resolution 1244/99),"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),:,
2009,Kosovo (under United Nations Security Council Resolution 1244/99),"Bovine animals, 1 year",December,Thousand head (animals),:,
2010,European Union - 28 countries,Live bovine animals,December,Thousand head (animals),87831.49,
2010,European Union - 28 countries,"Bovine animals, less than 1 year",December,Thousand head (animals),26061.04,b
2010,European Union - 28 countries,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),5341.4,b
2010,European Union - 28 countries,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),20719.63,b
2010,European Union - 28 countries,"Bovine animals, 1 year",December,Thousand head (animals),17745.95,b
2010,European Union - 27 countries (2007-2013),Live bovine animals,December,Thousand head (animals),87387.19,
2010,European Union - 27 countries (2007-2013),"Bovine animals, less than 1 year",December,Thousand head (animals),25930.74,b
2010,European Union - 27 countries (2007-2013),"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),5326.1,b
2010,European Union - 27 countries (2007-2013),"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),20604.63,b
2010,European Union - 27 countries (2007-2013),"Bovine animals, 1 year",December,Thousand head (animals),17662.15,b
2010,European Union - 25 countries (2004-2006),Live bovine animals,December,Thousand head (animals),84832.39,
2010,European Union - 25 countries (2004-2006),"Bovine animals, less than 1 year",December,Thousand head (animals),25369.02,b
2010,European Union - 25 countries (2004-2006),"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),5134.94,b
2010,European Union - 25 countries (2004-2006),"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),20234.07,b
2010,European Union - 25 countries (2004-2006),"Bovine animals, 1 year",December,Thousand head (animals),17394.36,b
2010,European Union - 15 countries (1995-2004),Live bovine animals,December,Thousand head (animals),74898.5,b
2010,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year",December,Thousand head (animals),22772.53,b
2010,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),4795.42,b
2010,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),17977.1,b
2010,European Union - 15 countries (1995-2004),"Bovine animals, 1 year",December,Thousand head (animals),15218.45,b
2010,Belgium,Live bovine animals,December,Thousand head (animals),2509.54,
2010,Belgium,"Bovine animals, less than 1 year",December,Thousand head (animals),685.61,
2010,Belgium,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),170.85,
2010,Belgium,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),514.76,
2010,Belgium,"Bovine animals, 1 year",December,Thousand head (animals),502.46,
2010,Bulgaria,Live bovine animals,December,Thousand head (animals),553.7,
2010,Bulgaria,"Bovine animals, less than 1 year",December,Thousand head (animals),141.42,
