TIME,GEO,NUTRIENT,UNIT,Value,Flag and Footnotes
2009,Luxembourg,Nitrogen,Tonne,13384,
2009,Luxembourg,Phosphorus,Tonne,590,
2009,Hungary,Nitrogen,Tonne,274944,
2009,Hungary,Phosphorus,Tonne,19232,
2009,Malta,Nitrogen,Tonne,440,
2009,Malta,Phosphorus,Tonne,3,
2009,Netherlands,Nitrogen,Tonne,211350,
2009,Netherlands,Phosphorus,Tonne,4043,
2009,Austria,Nitrogen,Tonne,89132,
2009,Austria,Phosphorus,Tonne,7256,
2009,Poland,Nitrogen,Tonne,1095441,
2009,Poland,Phosphorus,Tonne,163852,
2009,Portugal,Nitrogen,Tonne,97293,
2009,Portugal,Phosphorus,Tonne,11538,
2009,Romania,Nitrogen,Tonne,296055,
2009,Romania,Phosphorus,Tonne,43900,
2009,Slovenia,Nitrogen,Tonne,28202,
2009,Slovenia,Phosphorus,Tonne,3342,
2009,Slovakia,Nitrogen,Tonne,96334,r
2009,Slovakia,Phosphorus,Tonne,7936,r
2009,Finland,Nitrogen,Tonne,136009,
2009,Finland,Phosphorus,Tonne,10784,
2009,Sweden,Nitrogen,Tonne,142400,
2009,Sweden,Phosphorus,Tonne,8100,
2009,United Kingdom,Nitrogen,Tonne,948001,
2009,United Kingdom,Phosphorus,Tonne,56307,
2009,Norway,Nitrogen,Tonne,91179,
2009,Norway,Phosphorus,Tonne,8443,
2009,Switzerland,Nitrogen,Tonne,47900,
2009,Switzerland,Phosphorus,Tonne,3886,
2009,Turkey,Nitrogen,Tonne,1413793,
2009,Turkey,Phosphorus,Tonne,253706,
2010,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Nitrogen,Tonne,10292515,e
2010,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Phosphorus,Tonne,1174074,e
2010,European Union - 28 countries,Nitrogen,Tonne,10401860,e
2010,European Union - 28 countries,Phosphorus,Tonne,1189837,e
2010,Belgium,Nitrogen,Tonne,151341,e
2010,Belgium,Phosphorus,Tonne,5600,e
2010,Bulgaria,Nitrogen,Tonne,199083,
2010,Bulgaria,Phosphorus,Tonne,17043,
2010,Czechia,Nitrogen,Tonne,270256,
